"tutor_user_idx","student_user_idx","course_id","course_class_id","course_class_seq_id","quiz_submit_ratio","quiz_solving_cnt","quiz_solving_time","registered_by_user_idx","registered_date","last_modified_by_user_idx","last_modified_date"
"181","223","155","263","785",\0,\0,\0,"181","2022-08-14 09:00:55","181","2022-08-14 09:00:55"
"232","236","161","292","846",\0,\0,\0,"232","2022-08-19 14:03:43","231","2022-08-19 14:04:04"
"232","236","161","292","847",\0,\0,\0,"232","2022-08-19 14:28:55","232","2022-08-19 14:28:55"
"232","236","161","292","848",\0,\0,\0,"232","2022-08-19 14:29:26","232","2022-08-19 14:29:26"
"232","236","161","292","927",\0,\0,\0,"232","2022-08-24 18:57:23","232","2022-08-24 18:57:23"
"232","236","161","292","944",\0,\0,\0,"232","2022-08-25 20:38:33","232","2022-08-25 20:38:33"
"232","236","161","292","947",\0,\0,\0,"232","2022-08-26 11:29:40","232","2022-08-26 11:29:40"
"232","236","161","292","963",\0,\0,\0,"232","2022-08-29 14:57:25","232","2022-08-29 14:57:25"
"232","236","161","292","1053",\0,\0,\0,"232","2022-08-31 10:42:21","232","2022-08-31 10:42:21"
"233","223","161","293","954",\0,\0,\0,"233","2022-08-26 12:32:34","233","2022-08-26 12:32:34"
"233","223","161","293","955",\0,\0,\0,"233","2022-08-26 12:32:57","233","2022-08-26 12:32:57"
"233","223","161","293","956",\0,\0,\0,"233","2022-08-26 12:33:53","233","2022-08-26 12:33:53"
"233","223","161","293","957",\0,\0,\0,"233","2022-08-26 20:37:19","233","2022-08-26 20:37:19"
"233","223","161","293","958",\0,\0,\0,"233","2022-08-27 14:39:37","233","2022-08-27 14:39:37"
"233","223","161","293","959",\0,\0,\0,"233","2022-08-27 15:43:47","233","2022-08-27 15:43:47"
"233","223","161","293","960",\0,\0,\0,"233","2022-08-27 15:44:01","233","2022-08-27 15:44:01"
"233","223","161","293","961",\0,\0,\0,"233","2022-08-27 15:44:23","233","2022-08-27 15:44:23"
"233","223","161","293","962",\0,\0,\0,"233","2022-08-27 15:44:37","233","2022-08-27 15:44:37"
"233","239","161","293","954",\0,\0,\0,"233","2022-08-26 12:32:34","233","2022-08-26 12:32:34"
"233","239","161","293","955",\0,\0,\0,"233","2022-08-26 12:32:57","233","2022-08-26 12:32:57"
"233","239","161","293","956",\0,\0,\0,"233","2022-08-26 12:33:53","233","2022-08-26 12:33:53"
"233","239","161","293","957",\0,\0,\0,"233","2022-08-26 20:37:19","233","2022-08-26 20:37:19"
"233","239","161","293","958",\0,\0,\0,"233","2022-08-27 14:39:37","233","2022-08-27 14:39:37"
