student_user_idx,course_id,key,course_learning_content_id,lesson_id,lesson_item_id,lesson_subitem_id,body,attend_absente_late,is_available,total_learning_time_in_seconds,registered_by_user_idx,registered_date,last_modified_by_user_idx,last_modified_date
145,124,3,650,156,188,200,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/50c5e387-53b3-4c3f-b8e3-4caf0ef36945.pptx"",""type_code"":6}]",5,1,5,1,2022-08-02 13:07,1,2022-08-05 16:18
170,124,3,650,156,188,200,"[{""size"":51725,""mime_type"":""application\/vnd.openxmlformats-officedocument.presentationml.presentation"",""name"":""???????.pptx"",""url"":""kttutoring\/content\/2022\/8\/50c5e387-53b3-4c3f-b8e3-4caf0ef36945.pptx"",""type_code"":6}]",5,1,0,1,2022-08-02 13:07,1,2022-08-05 16:18
24,124,3,651,\0,\0,\0,\0,5,1,0,1,2022-08-03 16:52,1,2022-08-05 16:18
25,124,3,651,\0,\0,\0,\0,5,1,5,1,2022-08-03 16:52,1,2022-08-05 16:18
61,124,3,651,\0,\0,\0,\0,5,1,0,1,2022-08-03 16:52,1,2022-08-05 16:18
99,124,3,651,\0,\0,\0,\0,5,1,0,1,2022-08-03 16:52,1,2022-08-05 16:18
132,124,3,651,\0,\0,\0,\0,5,1,0,1,2022-08-03 16:52,1,2022-08-05 16:18
145,124,3,651,\0,\0,\0,\0,5,1,5,1,2022-08-03 16:52,1,2022-08-05 16:18
170,124,3,651,\0,\0,\0,\0,5,1,0,1,2022-08-03 16:52,1,2022-08-05 16:18
69,125,1,573,140,172,184,"[{""size"":16824,""mime_type"":""image\/png"",""name"":""세로형 (1).png"",""url"":""kttutoring\/content\/2022\/7\/1ac2aa84-545b-4089-bc51-678e237b08f6.png"",""type_code"":6}]",5,1,0,57,2022-07-22 15:28,47,2022-07-22 15:31
69,125,1,574,\0,\0,\0,\0,5,1,0,47,2022-07-22 15:31,47,2022-07-22 15:31
69,127,1,577,141,173,185,"[{""size"":1768165,""mime_type"":""image\/png"",""name"":""커리큘럼 교재소개.png"",""url"":""kttutoring\/content\/2022\/7\/2ea956a3-71b0-4f98-b214-e985383da8b6.png"",""type_code"":6}]",5,1,0,57,2022-07-25 9:59,47,2022-07-25 10:13
69,127,1,578,\0,\0,\0,\0,5,1,0,47,2022-07-25 10:13,47,2022-07-25 10:13
42,128,2,579,\0,\0,\0,\0,5,1,0,148,2022-07-25 13:12,56,2022-07-25 16:53
42,128,\0,580,142,174,186,"[{""size"":12,""mime_type"":""text\/plain"",""name"":""25일테스트test(2).txt"",""url"":""kttutoring\/content\/2022\/7\/b81729c1-a229-4ee9-920f-d18fe0c55f02.txt"",""type_code"":6}]",5,1,0,56,2022-07-25 14:05,56,2022-07-25 16:53
42,128,-1,583,\0,\0,\0,\0,5,1,0,148,2022-07-25 14:21,56,2022-07-25 16:53
69,136,1,585,143,175,187,"[{""size"":1768165,""mime_type"":""image\/png"",""name"":""커리큘럼 교재소개.png"",""url"":""kttutoring\/content\/2022\/7\/18ce16b2-c60b-4aee-a214-ba82984fb538.png"",""type_code"":6}]",5,1,0,57,2022-07-25 16:50,47,2022-07-25 16:55
69,136,1,591,\0,\0,\0,\0,5,1,0,47,2022-07-25 16:55,47,2022-07-25 16:55
101,137,1,596,144,176,188,"[{""size"":253892,""mime_type"":""application\/pdf"",""name"":""소개자료.pdf"",""url"":""kttutoring\/content\/2022\/7\/7ee2c606-bcf9-4ef9-925a-090f3b45dfdf.pdf"",""type_code"":6}]",5,1,0,51,2022-07-26 10:18,51,2022-07-26 11:03
101,137,1,597,\0,\0,\0,\0,1,1,0,148,2022-07-26 10:33,148,2022-07-26 10:33
101,137,\0,598,145,177,189,"[{""size"":253892,""mime_type"":""application\/pdf"",""name"":""소개자료.pdf"",""url"":""kttutoring\/content\/2022\/7\/80a4ca53-1cc7-4f37-a130-669ffd00958d.pdf"",""type_code"":6}]",5,1,0,51,2022-07-26 10:52,51,2022-07-26 11:03
101,137,\0,599,\0,\0,\0,\0,5,1,0,56,2022-07-26 10:52,56,2022-07-26 10:52
101,137,-1,609,\0,\0,\0,\0,5,1,0,148,2022-07-26 13:40,148,2022-07-26 13:40
101,137,-1,610,\0,\0,\0,\0,5,1,0,148,2022-07-26 13:41,148,2022-07-26 13:41
101,137,\0,617,147,179,191,"[{""size"":253892,""mime_type"":""application\/pdf"",""name"":""소개자료.pdf"",""url"":""kttutoring\/content\/2022\/7\/fdd71634-a678-4c79-b2f2-ccb87d8fc563.pdf"",""type_code"":6}]",5,1,0,51,2022-07-26 15:07,56,2022-07-26 15:08
101,137,-1,620,\0,\0,\0,\0,5,1,0,51,2022-07-26 15:09,51,2022-07-26 15:09
101,137,\0,621,148,180,192,"[{""size"":253892,""mime_type"":""application\/pdf"",""name"":""소개자료.pdf"",""url"":""kttutoring\/content\/2022\/7\/143378a5-9073-408b-af6b-d0c8e66a5511.pdf"",""type_code"":6}]",5,1,0,51,2022-07-26 15:10,51,2022-07-26 15:10
69,138,1,600,146,178,190,"[{""size"":427597,""mime_type"":""image\/jpeg"",""name"":""커리큘럼 상세소개 이미지.jpg"",""url"":""kttutoring\/content\/2022\/7\/ae716479-8a43-46b9-87e4-7865977bf1ee.jpg"",""type_code"":6}]",5,1,0,57,2022-07-26 11:00,47,2022-07-26 11:24
69,138,1,602,\0,\0,\0,\0,1,1,0,47,2022-07-26 11:24,47,2022-07-26 11:24
287,143,1,1128,149,181,193,"[{""size"":253892,""mime_type"":""application\/pdf"",""name"":""소개자료.pdf"",""url"":""kttutoring\/content\/2022\/7\/50374d7d-e46f-4c53-b344-c64d99c7462d.pdf"",""type_code"":6}]",5,1,0,284,2022-09-13 16:49,284,2022-09-13 16:56
287,143,1,1129,\0,\0,\0,\0,5,1,0,286,2022-09-13 16:56,284,2022-09-13 16:56
109,144,1,628,150,182,194,"[{""size"":1646613,""mime_type"":""application\/pdf"",""name"":""[카테노이드] 회사소개서.pdf"",""url"":""kttutoring\/content\/2022\/7\/0c5213bc-8c4c-4e8f-84f6-bec436c6d2d2.pdf"",""type_code"":6}]",5,1,0,57,2022-07-27 10:48,47,2022-07-27 10:49
160,144,1,628,150,182,194,"[{""size"":1646613,""mime_type"":""application\/pdf"",""name"":""[카테노이드] 회사소개서.pdf"",""url"":""kttutoring\/content\/2022\/7\/0c5213bc-8c4c-4e8f-84f6-bec436c6d2d2.pdf"",""type_code"":6}]",5,1,5,57,2022-07-27 10:48,47,2022-07-27 10:49
109,144,1,629,\0,\0,\0,\0,5,1,0,47,2022-07-27 10:49,47,2022-07-27 10:49
160,144,1,629,\0,\0,\0,\0,5,1,5,47,2022-07-27 10:49,47,2022-07-27 10:49
101,145,2,634,\0,\0,\0,\0,5,1,0,51,2022-07-28 15:17,46,2022-07-28 15:47
101,145,3,635,\0,\0,\0,\0,5,1,0,46,2022-07-28 15:18,46,2022-07-28 15:47
