major,subject_category,subject_details
도시공학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 사회교과 : 한국지리, 세계지리, 세계사, 경제, 사회문화, 생활과 윤리, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
도시공학과,진로선택과목,"실용수학, 기하, 경제수학, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구"
도시공학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 고급 지구과학, 지구과학 실험, 정보과학, 융합과학탐구, 과학과제연구, 생태와 환경, 지역 이해, 사회과제 연구"
도시공학과,전문교과Ⅱ,"공간 정보,구축, 공간 정보 융합 서비스, 빅데이터 분석, 인간과 환경, 환경 보전"
문화인류학과,공통과목,"사회, 생활ㆍ교양"
문화인류학과,일반선택과목,"사회교과 : 한국지리. 세계지리, 세계사, 동아시아사, 사회ㆍ문화, 생활과 윤리, 윤리와 사상, 생활ㆍ교양교과 : 철학, 논리학, 심리학, 종교학"
문화인류학과,진로선택과목,"여행지리, 사회문제탐구 "
문화인류학과,전문교과Ⅰ,"지역 이해, 비교 문화, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구"
문화인류학과,전문교과Ⅱ,"문화콘텐츠 산업 일반, 빅데이터 분석"
문화재과,공통과목,"사회, 역사, 한문, 수학, 영어, 제2외국어"
문화재과,일반선택과목,"사회교과 : 사회문화, 세계사, 동아시아사, 한국지리, 윤리와 사상, 한문ㆍ외국어교과 : 한문Ⅰ, 한문Ⅱ, 영어Ⅰ, 영어Ⅱ, 중국어Ⅰ, 일본어Ⅰ, 수학교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계"
문화재과,진로선택과목,"사회문제 탐구, 고전 읽기, 고전과 윤리, 여행지리, 현대 세계의 변화"
문화재과,전문교과Ⅰ,"사회탐구 방법, 사회과제 연구, 한국 사회의 이해, 비교 문화, 지역 이해"
문화재과,전문교과Ⅱ,문화콘텐츠 산업 일반
반도체학과,공통과목,"수학, 영어, 과학, 기술ㆍ가정"
반도체학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
반도체학과,진로선택과목,"기하, 수학과제 탐구, 영어권 문화, 물리학Ⅱ, 화학Ⅱ, 공학 일반"
반도체학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제연구"
반도체학과,전문교과Ⅱ,"공업 일반, 반도체 개발, 프로그래밍, 자료구조"
법학과,공통과목,"사회, 생활ㆍ교양"
